timestamp,ema_20_rsi_14,ema_50_rsi_20,ema_10_rsi_10,ema_30_rsi_25,wavelet_haar_rsi_10,wavelet_haar_rsi_14,wavelet_haar_rsi_20,wavelet_haar_rsi_25,wavelet_db2_rsi_10,wavelet_db2_rsi_14,wavelet_db2_rsi_20,wavelet_db2_rsi_25,wavelet_db4_rsi_10,wavelet_db4_rsi_14,wavelet_db4_rsi_20,wavelet_db4_rsi_25,wavelet_db6_rsi_10,wavelet_db6_rsi_14,wavelet_db6_rsi_20,wavelet_db6_rsi_25,wavelet_bior1.3_rsi_10,wavelet_bior1.3_rsi_14,wavelet_bior1.3_rsi_20,wavelet_bior1.3_rsi_25,wavelet_bior2.2_rsi_10,wavelet_bior2.2_rsi_14,wavelet_bior2.2_rsi_20,wavelet_bior2.2_rsi_25,ssa_5_rsi_10,ssa_5_rsi_14,ssa_5_rsi_20,ssa_5_rsi_25,ssa_10_rsi_10,ssa_10_rsi_14,ssa_10_rsi_20,ssa_10_rsi_25,ssa_20_rsi_10,ssa_20_rsi_14,ssa_20_rsi_20,ssa_20_rsi_25,ssa_50_rsi_10,ssa_50_rsi_14,ssa_50_rsi_20,ssa_50_rsi_25,ssa_100_rsi_10,ssa_100_rsi_14,ssa_100_rsi_20,ssa_100_rsi_25,ssa_200_rsi_10,ssa_200_rsi_14,ssa_200_rsi_20,ssa_200_rsi_25,original_rsi_10,original_rsi_14,original_rsi_20,original_rsi_25
2018-01-25,0.0,25.582512719108905,2.2149106294624943,37.03555849370886,30.135864541079755,37.45079334171826,28.02676305466852,41.46687332804597,32.93910688342018,36.565315038709656,28.098164283984516,42.66829103714663,33.72612697737948,35.10691405282316,27.664244183343953,42.115279295218514,33.29244063806314,37.663896042344895,28.21153810833725,42.912016760506404,33.097910531664354,38.62489920329372,28.5550342457973,43.29238498751558,35.70361430130248,36.88570022228569,27.750642798783034,42.872525775203115,28.49833983060779,22.506171871601055,15.783297281619127,38.572163682418754,34.67185796377605,31.53980830905961,22.93653148797067,39.683447770467374,35.208895151076476,32.592771591766834,24.67754734290432,40.620369409335986,35.019171744562016,32.46231328208849,25.063624865794523,40.44359000640923,34.71469575482726,32.639178753275885,25.252835096456707,40.18588678576249,32.5344765754395,30.79738699344172,24.327433152815857,40.2876033833967,34.018377790934395,38.74763747882865,29.519988218484812,43.773430161526555
2018-01-26,0.0,15.903253136233133,2.7239277188634787,35.52626693851589,47.394227148206795,34.66419585794439,28.02676305466852,41.46687332804597,48.35308065335593,33.56197964718467,27.29955627941476,42.30131678593704,51.22867962756206,31.820835818118823,27.253575636183143,41.60171542736025,49.31244964801018,33.93966783342117,27.05338766629515,42.40557587770212,52.28266137559555,35.81393124440417,28.5550342457973,43.29238498751558,55.239892220819485,34.326327220899856,27.44680288074349,42.68959802688289,44.84379575806411,24.98600393784801,16.254639532308445,39.55333617920251,48.06819941654705,32.64998454767219,22.55364222797165,40.06965674901603,47.60160853161454,33.63648434009903,23.09823623504778,40.68305333100251,47.257289594442774,33.793526225401806,23.271194731331477,40.568187131751486,47.51573756379774,33.82948360145241,23.090202959205726,40.25378815246988,51.07817268924212,32.04419137867822,22.899096849683545,41.51881563098604,51.950705969779534,34.85876035351892,28.792562633459795,43.56116304900149
2018-01-27,0.0,8.668274925422509,3.468812544078446,32.44360930578003,54.39931894993737,31.005575136173675,30.89250821193602,37.74120143476532,51.790921696346295,34.752713754181215,31.033142770359447,39.5739215074441,52.956846770089264,30.882261127462172,30.163008923633896,37.752519232254755,49.87339116545422,32.73460262389257,29.372941902332116,38.04744768014502,48.74801552445065,33.319414291354406,29.577717039902936,38.620675484989526,56.226721582750436,34.068279882888035,30.920578186160952,38.92979205413872,59.06755681476621,27.141156173696857,19.122761139238634,36.575452321227274,61.06472374025134,32.37378030186565,25.896450318861937,39.34943943925964,61.79811453903746,33.444052599306886,26.714657733594635,39.17815439325067,61.0568967753497,33.63903953095934,27.331972198134167,39.999662188812444,61.73983637495908,33.63562967186644,27.561944479790796,40.361543794499774,62.33874407450242,31.24682928447544,26.078983789604365,39.445430991033334,54.86863101320184,34.34888122418343,32.84968707046271,40.5780899631126
2018-01-28,0.0,5.389510231626474,8.974314902820907,29.39208912446469,57.02350288421903,35.8607017417405,35.41687729840059,38.12241290214075,55.42576166417338,40.24490346233092,34.89771929244864,39.354390948517995,55.58485650893302,36.71453640058009,34.74057055201193,37.56998065554582,54.0947997116497,37.62218706950098,33.74813354085654,37.96726258873551,51.7010094132617,38.250461446703724,34.05113994994689,38.39705397717925,56.80905014470943,38.3535694170983,34.48175013664762,38.0494816382008,57.9618407247912,29.386250513012342,21.646288509781186,31.775244296804132,59.285120254840635,34.25120753674298,29.78749299315028,37.880832233853255,59.67980654821525,34.74593040235381,31.30862498698839,38.58157612369492,59.436106285594285,34.37194343625082,31.510639102098224,38.10602415222397,59.29639220682115,34.18197385661186,31.845237283441847,38.38845271387301,55.841724110088514,32.15922147706111,29.312364154765305,36.25623687952038,58.315427900589526,40.43766231586219,38.122849111037944,41.08210811927295
2018-01-29,0.0,3.7581196347694856,10.186811511941613,25.737933280002764,50.44122063178128,33.53326363116899,36.95166931427898,37.50296640251975,43.312763302677844,34.83438798114392,34.580512703463214,36.76741125047929,43.866733626620544,34.443040143513315,34.510582378822534,36.39234260138408,44.83484834508873,33.89854026201283,33.73719072678195,36.709456993573006,48.463367217600016,33.21811077785537,33.76238365894832,37.3550071450171,44.340971134975995,35.02193127842918,33.51067633035848,35.95765259265359,40.59409940754353,31.977104538384182,22.915648377703036,24.506643949884307,40.912484477551025,37.11173086799538,30.722122968432615,31.717687082809505,39.768141695952586,37.612390825432186,32.050964847021305,33.48427505714844,40.95871098833866,37.62783253600863,32.21429690852307,32.73614283835606,40.04879260407067,37.16218553495229,31.98904484385524,32.852745755092585,39.74543840778866,35.822867499003365,29.964755000069204,31.47432224545092,48.012839621838005,37.14695150507119,37.747844492171694,39.13759979556028
2018-01-30,0.0,0.7417416215061365,4.6158050439854605,17.800387401035948,24.76095252514608,42.67555790672227,32.09176030225747,28.204494108844287,20.684768662581845,42.280173921515875,29.869391301014247,27.92162772568858,19.957949931427677,43.33117259225554,28.0140697333359,26.91262115612595,24.338927945169715,42.110810619012994,29.192026846184206,27.277626301369324,25.033200024353548,42.28687602393622,29.22117211954003,27.101589843461994,19.222810534071684,43.07627228182747,28.261410884772786,26.159396990434928,22.533066803629154,36.36152451353741,22.083260907200213,17.372727614460487,24.454085680908207,41.91918916737718,29.406927498613243,23.545358258388774,24.222601671474834,42.578788138268294,30.31301433472956,25.07451908285084,24.59285064383026,42.93625665941433,30.567677252364064,25.817378998132966,25.117671114090356,43.19626866129785,30.507105289625216,26.03573766043999,24.887523726920804,42.38312277945132,29.594685517474687,25.455988489964938,25.93605436299471,45.44854962838994,32.520363549246866,29.803262298509708
2018-01-31,0.0,0.7063071006235617,4.613358851630792,9.687234298368608,33.549399938965635,46.82930187473253,37.02333352079971,28.82809828937711,29.57310843714029,42.85591434393154,35.18395809497849,27.98760319043548,28.34990354259581,43.88740357506256,33.026196820182605,27.314003232245113,35.87932511032382,42.631339764481055,35.44604170032713,27.379696478880945,34.33596842939836,40.91174671899887,35.39660534543604,27.476332552203715,25.529668307390764,41.243795244291945,32.46234562602562,25.89366385368497,20.44707734250926,36.17245214991125,21.422652599790908,15.202976937143333,23.668622143055757,42.71122296361309,28.539720316138187,21.387434061110042,23.551054666064275,43.59150765877458,29.285292883242704,22.18695861667652,23.91261367068938,43.01547235889475,29.698451919599435,22.62403355598279,24.366963548709705,43.48392889853605,30.074510331621198,22.72292961395283,24.092281852278433,42.355230949740935,29.37803607371454,21.47570794834992,34.8251768709805,45.13797244282183,37.41667007484357,29.541596232466333
2018-02-01,0.0,0.647624895219252,4.4399134687504045,3.9598213632313843,30.875146541739838,40.276833916355166,31.750413050512535,28.421967027459374,27.617596568899884,38.947284443074246,30.83641820646173,27.841802012669746,25.54391539517931,37.908665145481464,28.219166525466576,27.050440820188086,31.550818670211072,37.76593699147005,30.179934075277657,26.84050370456775,31.674355931087334,35.28103775170247,30.093262918624845,26.737123779859033,23.2551270484109,35.958162354426705,28.21681195874926,25.90327666751469,19.867414288544964,30.734516849936455,19.76102586592235,15.140695433327053,25.3946014225871,36.2024938594939,27.32078505980681,21.901365395408448,25.739019410602225,36.6349468818874,28.59934297434306,22.926570532117978,26.213973882651374,36.7881000874988,28.82977788417358,22.913453005833844,25.87703999316757,35.858900390575215,28.907891073852895,22.96809882623411,24.455299743041977,32.588819400714314,26.149345899831943,21.271441649433456,32.52096191454052,39.495910088448504,31.63812446984059,29.292826606563978
2018-02-02,0.0,0.0,4.108250478886475,1.9908912796882845,22.67493170538043,32.083579398653754,25.1056362024933,28.752679667490796,25.538534267107025,31.717697903868583,28.553268669924265,28.971594626125466,24.12560984411698,31.1403692553277,25.61436026961654,28.638105689661217,24.47399090660845,32.539420795216515,27.385389460161903,28.18540440970753,21.846268874290885,35.18864510757459,28.047591305115873,28.658478690862935,18.722194289005316,30.57826919595155,25.603544859065607,27.22096595272923,18.673322810817922,20.758066425066147,18.590573576208655,15.843753427600646,24.795874176367548,23.805907736095165,24.99654933576373,23.222728582036467,25.09043039717035,23.08572088067089,26.497669762712107,24.701988619410912,25.064988708232022,25.02390940269575,26.054471660582635,24.936145850933784,25.20560213144752,24.350428651957444,25.775246163624672,25.037907246224677,22.903075501041272,23.067443947303886,22.475480749395885,22.733030381422793,29.530165680096076,33.95607011122445,28.08645244893586,30.951209017286857
2018-02-03,0.0,0.0,3.7772881614361182,1.5317017022743613,18.608819243259532,21.201626496471462,27.855562540037198,31.186815173680387,22.583806376152694,20.806404953206552,32.11583317137445,31.05291889591294,18.27622709046973,18.712946627104543,28.5766007095619,30.293445300625834,19.42915026372748,23.42980024665016,30.17848205636831,30.160840856091966,16.39481607115279,23.972894957898788,31.09535866849461,30.308054463425407,15.94960044873119,18.571913099618982,28.998301695883697,29.331949079134773,15.029687283237976,12.833988729638321,18.50484747611155,16.40539972466442,16.829310210995416,16.19840555338044,24.468346207273953,23.822902628465258,15.849819552112422,16.12329144241906,25.26661522517837,25.088434414675092,14.647754646436368,16.476171732141466,25.119699319167054,25.573371396727737,15.144158345577893,16.887513468269987,24.99340778841878,25.667357991304684,17.6800147768364,15.970224771347802,22.6078265098229,23.587792684679357,26.009323874071896,24.68653316082579,31.83813751938314,33.38738780183607
