date,price
2021-06-05 03:00:00,35538.4
2021-06-06 03:00:00,35798.57
2021-06-07 03:00:00,33582.86
2021-06-08 03:00:00,33409.38
2021-06-09 03:00:00,37391.58
2021-06-10 03:00:00,36680.78
2021-06-11 03:00:00,37339.98
2021-06-12 03:00:00,35541.78
2021-06-13 03:00:00,39017.37
2021-06-14 03:00:00,40526.63
2021-06-15 03:00:00,40161.86
2021-06-16 03:00:00,38345.41
2021-06-17 03:00:00,38082.3
2021-06-18 03:00:00,35830.29
2021-06-19 03:00:00,35515.38
2021-06-20 03:00:00,35602.26
2021-06-21 03:00:00,31652.62
2021-06-22 03:00:00,32537.58
2021-06-23 03:00:00,33678.64
2021-06-24 03:00:00,34649.84
2021-06-25 03:00:00,31593.86
2021-06-26 03:00:00,32307.35
2021-06-27 03:00:00,34713.81
2021-06-28 03:00:00,34487.11
2021-06-29 03:00:00,35901.41
2021-06-30 03:00:00,35056.39
2021-07-01 03:00:00,33543.11
2021-07-02 03:00:00,33804.54
2021-07-03 03:00:00,34682.84
2021-07-04 03:00:00,35287.97
2021-07-05 03:00:00,33702.79
2021-07-06 03:00:00,34237.66
2021-07-07 03:00:00,33880.79
2021-07-08 03:00:00,32874.01
2021-07-09 03:00:00,33804.2
2021-07-10 03:00:00,33515.13
2021-07-11 03:00:00,34249.3
2021-07-12 03:00:00,33088.51
2021-07-13 03:00:00,32737.47
2021-07-14 03:00:00,32820.5
2021-07-15 03:00:00,31867.46
2021-07-16 03:00:00,31401.76
2021-07-17 03:00:00,31546.64
2021-07-18 03:00:00,31806.3
2021-07-19 03:00:00,30847.55
2021-07-20 03:00:00,29795.55
2021-07-21 03:00:00,32139.48
2021-07-22 03:00:00,32299.47
2021-07-23 03:00:00,33637.92
2021-07-24 03:00:00,34282.56
2021-07-25 03:00:00,35369.93
2021-07-26 03:00:00,37269.52
2021-07-27 03:00:00,39496.69
2021-07-28 03:00:00,40030.01
2021-07-29 03:00:00,40030.52
2021-07-30 03:00:00,42231.83
2021-07-31 03:00:00,41474.72
2021-08-01 03:00:00,39870.76
2021-08-02 03:00:00,39158.53
2021-08-03 03:00:00,38189.3
2021-08-04 03:00:00,39738.56
2021-08-05 03:00:00,40888.18
2021-08-06 03:00:00,42852.18
2021-08-07 03:00:00,44617.96
2021-08-08 03:00:00,43827.75
2021-08-09 03:00:00,46292.61
2021-08-10 03:00:00,45601.03
2021-08-11 03:00:00,45556.69
2021-08-12 03:00:00,44425.52
2021-08-13 03:00:00,47832.93
2021-08-14 03:00:00,47102.03
2021-08-15 03:00:00,47015.94
2021-08-16 03:00:00,45927.4
2021-08-17 03:00:00,44684.43
2021-08-18 03:00:00,44714.54
2021-08-19 03:00:00,46761.49
2021-08-20 03:00:00,49336.45
2021-08-21 03:00:00,48867.87
2021-08-22 03:00:00,49289.71
2021-08-23 03:00:00,49521.06
2021-08-24 03:00:00,47690.54
2021-08-25 03:00:00,48996.44
2021-08-26 03:00:00,46852.22
2021-08-27 03:00:00,49088.1
2021-08-28 03:00:00,48918.9
2021-08-29 03:00:00,48794.26
2021-08-30 03:00:00,46993.31
2021-08-31 03:00:00,47159.26
2021-09-01 03:00:00,48840.01
2021-09-02 03:00:00,49280.77
2021-09-03 03:00:00,50019.51
2021-09-04 03:00:00,49935.29
2021-09-05 03:00:00,51784.16
2021-09-06 03:00:00,52693.32
2021-09-07 03:00:00,46856.31
2021-09-08 03:00:00,46073.45
2021-09-09 03:00:00,46392.85
2021-09-10 03:00:00,44853.1
2021-09-11 03:00:00,45166.12
2021-09-12 03:00:00,46049.72
2021-09-13 03:00:00,44958.56
2021-09-14 03:00:00,47129.01
2021-09-15 03:00:00,48148.45
2021-09-16 03:00:00,47764.47
2021-09-17 03:00:00,47297.98
2021-09-18 03:00:00,48312.46
2021-09-19 03:00:00,47251.76
2021-09-20 03:00:00,42925.46
2021-09-21 03:00:00,40709.59
2021-09-22 03:00:00,43576.15
2021-09-23 03:00:00,44893.87
2021-09-24 03:00:00,42848.41
2021-09-25 03:00:00,42721.91
2021-09-26 03:00:00,43201.79
2021-09-27 03:00:00,42187.51
2021-09-28 03:00:00,41056.79
2021-09-29 03:00:00,41539.43
2021-09-30 03:00:00,43829.34
2021-10-01 03:00:00,48164.35
2021-10-02 03:00:00,47669.02
2021-10-03 03:00:00,48234.05
2021-10-04 03:00:00,49276.91
2021-10-05 03:00:00,51504.27
2021-10-06 03:00:00,55345.85
2021-10-07 03:00:00,53797.21
2021-10-08 03:00:00,53949.29
2021-10-09 03:00:00,54968.04
2021-10-10 03:00:00,54700.24
2021-10-11 03:00:00,57498.8
2021-10-12 03:00:00,56010.9
2021-10-13 03:00:00,57369.0
2021-10-14 03:00:00,57359.21
2021-10-15 03:00:00,61684.96
2021-10-16 03:00:00,60877.77
2021-10-17 03:00:00,61520.54
2021-10-18 03:00:00,62038.16
2021-10-19 03:00:00,64283.97
2021-10-20 03:00:00,66021.02
2021-10-21 03:00:00,62283.96
2021-10-22 03:00:00,60693.59
2021-10-23 03:00:00,61313.09
2021-10-24 03:00:00,60863.56
2021-10-25 03:00:00,63089.04
2021-10-26 03:00:00,60315.68
2021-10-27 03:00:00,58464.42
2021-10-28 03:00:00,60610.11
2021-10-29 03:00:00,62282.5
2021-10-30 03:00:00,61891.91
2021-10-31 03:00:00,61349.75
2021-11-01 02:00:00,60960.98
2021-11-02 02:00:00,63260.05
2021-11-03 02:00:00,62929.93
2021-11-04 02:00:00,61448.47
2021-11-05 02:00:00,61019.66
2021-11-06 02:00:00,61529.76
2021-11-07 02:00:00,63302.78
2021-11-08 02:00:00,67549.14
2021-11-09 02:00:00,66939.24
2021-11-10 02:00:00,64926.06
2021-11-11 02:00:00,64820.8
2021-11-12 02:00:00,64156.3
2021-11-13 02:00:00,64409.56
2021-11-14 02:00:00,65509.06
2021-11-15 02:00:00,63614.06
2021-11-16 02:00:00,60108.9
2021-11-17 02:00:00,60365.6
2021-11-18 02:00:00,56930.68
2021-11-19 02:00:00,58136.22
2021-11-20 02:00:00,59769.66
2021-11-21 02:00:00,58700.83
2021-11-22 02:00:00,56303.06
2021-11-23 02:00:00,57566.6
2021-11-24 02:00:00,57175.09
2021-11-25 02:00:00,58966.99
2021-11-26 02:00:00,53788.22
2021-11-27 02:00:00,54805.03
2021-11-28 02:00:00,57331.41
2021-11-29 02:00:00,57839.55
2021-11-30 02:00:00,56975.35
2021-12-01 02:00:00,57227.97
2021-12-02 02:00:00,56522.76
2021-12-03 02:00:00,53663.25
2021-12-04 02:00:00,49243.39
2021-12-05 02:00:00,49465.5
2021-12-06 02:00:00,50552.83
2021-12-07 02:00:00,50633.01
2021-12-08 02:00:00,50513.04
2021-12-09 02:00:00,47593.85
2021-12-10 02:00:00,47191.14
2021-12-11 02:00:00,49398.4
2021-12-12 02:00:00,50109.99
2021-12-13 02:00:00,46731.03
2021-12-14 02:00:00,48387.69
2021-12-15 02:00:00,48885.05
2021-12-16 02:00:00,47635.92
2021-12-17 02:00:00,46164.14
2021-12-18 02:00:00,46861.62
2021-12-19 02:00:00,46697.13
2021-12-20 02:00:00,46913.54
2021-12-21 02:00:00,48917.48
2021-12-22 02:00:00,48614.97
2021-12-23 02:00:00,50830.2
2021-12-24 02:00:00,50840.36
2021-12-25 02:00:00,50431.63
2021-12-26 02:00:00,50790.88
2021-12-27 02:00:00,50714.73
2021-12-28 02:00:00,47536.39
2021-12-29 02:00:00,46471.7
2021-12-30 02:00:00,47129.66
2021-12-31 02:00:00,46197.31
2022-01-01 02:00:00,47737.35
2022-01-02 02:00:00,47306.41
2022-01-03 02:00:00,46450.79
2022-01-04 02:00:00,45824.54
2022-01-05 02:00:00,43432.51
2022-01-06 02:00:00,43094.54
2022-01-07 02:00:00,41543.79
2022-01-08 02:00:00,41686.67
2022-01-09 02:00:00,41869.6
2022-01-10 02:00:00,41832.59
2022-01-11 02:00:00,42743.03
2022-01-12 02:00:00,43919.67
2022-01-13 02:00:00,42575.61
2022-01-14 02:00:00,43089.83
2022-01-15 02:00:00,43088.74
2022-01-16 02:00:00,43100.36
2022-01-17 02:00:00,42224.38
2022-01-18 02:00:00,42372.75
2022-01-19 02:00:00,41674.8
2022-01-20 02:00:00,40697.03
2022-01-21 02:00:00,36469.3
2022-01-22 02:00:00,35075.92
2022-01-23 02:00:00,36288.15
2022-01-24 02:00:00,36702.79
2022-01-25 02:00:00,36975.99
2022-01-26 02:00:00,36829.37
2022-01-27 02:00:00,37189.85
2022-01-28 02:00:00,37744.7
2022-01-29 02:00:00,38184.86
2022-01-30 02:00:00,37908.44
2022-01-31 02:00:00,38494.66
2022-02-01 02:00:00,38721.49
2022-02-02 02:00:00,36918.19
2022-02-03 02:00:00,37328.64
2022-02-04 02:00:00,41590.34
2022-02-05 02:00:00,41418.21
2022-02-06 02:00:00,42412.41
2022-02-07 02:00:00,43861.07
2022-02-08 02:00:00,44080.12
2022-02-09 02:00:00,44422.91
2022-02-10 02:00:00,43531.67
2022-02-11 02:00:00,42398.98
2022-02-12 02:00:00,42239.01
2022-02-13 02:00:00,42069.84
2022-02-14 02:00:00,42552.28
2022-02-15 02:00:00,44576.33
2022-02-16 02:00:00,43896.34
2022-02-17 02:00:00,40545.09
2022-02-18 02:00:00,39994.66
2022-02-19 02:00:00,40107.12
2022-02-20 02:00:00,38397.25
2022-02-21 02:00:00,37037.39
2022-02-22 02:00:00,38267.75
2022-02-23 02:00:00,37270.85
2022-02-24 02:00:00,38353.62
2022-02-25 02:00:00,39239.77
2022-02-26 02:00:00,39134.83
2022-02-27 02:00:00,37714.96
2022-02-28 02:00:00,43189.46
2022-03-01 02:00:00,44428.47
2022-03-02 02:00:00,43935.37
2022-03-03 02:00:00,42474.37
2022-03-04 02:00:00,39154.4
2022-03-05 02:00:00,39407.02
2022-03-06 02:00:00,38428.92
2022-03-07 02:00:00,38030.63
2022-03-08 02:00:00,38748.52
2022-03-09 02:00:00,41962.85
2022-03-10 02:00:00,39443.42
2022-03-11 02:00:00,38741.03
2022-03-12 02:00:00,38805.53
2022-03-13 02:00:00,37796.31
2022-03-14 02:00:00,39696.28
