Price,Returns,Range,Log_Range,pct_Range,fg,pct_fg,RSI,pct_RSI
Ticker,,,,,,,,
Date,,,,,,,,
2018-02-16,0.006617573638271057,0.05081816063747979,0.04956906135736859,-0.4310594918351184,67.0,-0.05633802816901412,63.799057927288466,0.007787979885426344
2018-02-17,0.08238283884948888,0.09755252244157742,0.09308272126090145,0.9196389876738227,74.0,0.10447761194029859,69.53769608652864,0.08994863475539838
2018-02-18,-0.05179217303128765,0.0991477633824811,0.09453511896087248,0.016352636518025987,63.0,-0.14864864864864868,62.705290662893944,-0.09825469936669817
2018-02-19,0.06187369895710683,0.07234710604237593,0.0698498031889635,-0.27031025638689,67.0,0.06349206349206349,66.90957618019631,0.0670483379130602
2018-02-20,0.01576773934263906,0.0647002446579592,0.06269329912891003,-0.10569685233764181,74.0,0.10447761194029859,67.94054146646319,0.015408336819984436
2018-02-21,-0.06459170224791023,0.08964514372824328,0.08585208702350333,0.3855456683688976,54.0,-0.2702702702702703,59.904174039021626,-0.1182853014412385
2018-02-22,-0.06626121098880938,0.11067510032789563,0.10496802894009641,0.23459114152802374,44.0,-0.18518518518518523,53.37141788885881,-0.10905343834483683
2018-02-23,0.02916567969339066,0.07732658359507427,0.0744825867437682,-0.3013190558130976,39.0,-0.11363636363636365,55.62293922801723,0.04218590077271345
2018-02-24,-0.048535445290413405,0.11000668262600088,0.1043660356899049,0.4226243745884093,31.0,-0.20512820512820518,51.23199548776458,-0.07894123901386596
2018-02-25,-0.01523197751850677,0.05486944697139329,0.053417012324198064,-0.5012171473442424,33.0,0.06451612903225801,49.94148367113823,-0.02518956765864322
2018-02-26,0.07011553986619887,0.10243076610633839,0.09751752918457889,0.8668087936031441,37.0,0.1212121212121211,55.63646270644494,0.11403303659954944
2018-02-27,0.0340346060989737,0.06172108555790001,0.059891257024694895,-0.3974360643380883,44.0,0.18918918918918926,58.25159177016622,0.0470038700612494
2018-02-28,-0.03102947063646394,0.06703488097853394,0.06488366248681832,0.08609368050808341,41.0,-0.06818181818181823,55.060116897143125,-0.05478777104693
2018-03-01,0.05182687604474616,0.06757653522042162,0.06539115930745987,0.0080801850317469,38.0,-0.07317073170731703,59.130161621866286,0.07392001604948173
2018-03-02,0.012288390831968733,0.031234772290216872,0.030756892293699215,-0.5377867156353153,47.0,0.23684210526315796,60.08322962150811,0.016118136218477463
2018-03-03,0.03573183173255637,0.04778955373552174,0.04668275823005088,0.5300112737012024,56.0,0.1914893617021276,62.86128333119457,0.04623675736452082
2018-03-04,0.0019910549659772955,0.03380896482670126,0.03325000546468411,-0.2925448725927059,44.0,-0.2142857142857143,63.01866309568063,0.0025036040651107427
2018-03-05,0.005258650235306609,0.02273693494948259,0.022482303313591943,-0.3274879882886662,55.0,0.25,63.4606739487699,0.0070139674721148015
2018-03-06,-0.07101737882303372,0.07534853327511004,0.07264482603275435,2.3139265887209963,59.0,0.07272727272727275,54.321471061775036,-0.14401364369960357
2018-03-07,-0.0785471416488412,0.12766864915532716,0.12015235917384144,0.6943747091822965,37.0,-0.3728813559322034,46.86185613611009,-0.13732350725888443
2018-03-08,-0.05895751127349285,0.0869260458051424,0.08335357068671395,-0.3191277077007023,39.0,0.054054054054053946,42.46206608219734,-0.09388851438435508
2018-03-09,-0.006134788034011313,0.11198354819811485,0.10614540093307877,0.2882623057436955,37.0,-0.05128205128205132,42.03404815776517,-0.01008000702565015
2018-03-10,-0.05182014795719041,0.07961182489223595,0.07660155513269921,-0.28907570644759983,39.0,0.054054054054053946,38.595723022061605,-0.0817985725000504
2018-03-11,0.0773108269362234,0.12835530539929296,0.12076109053397006,0.6122643284843312,40.0,0.02564102564102555,45.80990042093024,0.1869164983577314
2018-03-12,-0.039774699535065794,0.10953810242816142,0.10394380478205727,-0.1466024556803025,41.0,0.02499999999999991,42.960951259356655,-0.06219068662877769
2018-03-13,-0.0011163614975213596,0.05717554869425423,0.05560077511717087,-0.47803049873214865,41.0,0.0,42.88197895500526,-0.0018382345370947517
2018-03-14,-0.10603202002040293,0.15953962099363905,0.14802304788741633,1.7903470038700608,40.0,-0.024390243902439046,36.39305439514998,-0.15132054811798468
2018-03-15,0.0037476840392196608,0.08291091806952777,0.07965270985229715,-0.480311426383334,32.0,-0.19999999999999996,36.7390973202472,0.009508488112592417
2018-03-16,0.00450614197866649,0.07243196425712295,0.06992893321775426,-0.12638810492506358,33.0,0.03125,37.18344055593314,0.012094560511726637
2018-03-17,-0.05186813420832641,0.06831214097172889,0.06607996466383537,-0.05687852493920076,31.0,-0.06060606060606055,34.269162997704356,-0.0783756832250363
2018-03-18,0.03802058543426426,0.114560779941554,0.10846040797055055,0.6770193162144518,29.0,-0.06451612903225812,38.07393139782248,0.11102600902079218
2018-03-19,0.048302106725166924,0.06030873835711703,0.05856012831631271,-0.4735655746418188,29.0,0.0,42.80349737756478,0.1242205836409318
2018-03-20,0.03224371887087316,0.07880078410037572,0.07585003910962507,0.3066229910789775,37.0,0.27586206896551735,45.895984587501786,0.07224847032144432
2018-03-21,0.0017722101148143986,0.037421171959328925,0.036737991401796705,-0.5251167563045798,36.0,-0.027027027027026973,46.07152578172544,0.003824761486246775
2018-03-22,-0.022745729727735496,0.06255876260966065,0.06067992627267817,0.6717478190595534,36.0,0.0,44.1138152351931,-0.04249285243574197
2018-03-23,0.017168711059965366,0.062076735065746735,0.06022617545027905,-0.007705196263576242,28.0,-0.2222222222222222,45.97470426806921,0.04218381527316928
2018-03-24,-0.02410683537135471,0.038136501925864597,0.037427280843240124,-0.38565548130916594,32.0,0.1428571428571428,43.77806685848423,-0.04777926132546351
2018-03-25,-0.02008233931084544,0.02756626942728513,0.027193161101466613,-0.2771683810730061,30.0,-0.0625,42.01642144154152,-0.04024036562960531
2018-03-26,-0.03428971504220468,0.0768358602976289,0.07402698200762109,1.7873144206294622,31.0,0.03333333333333344,39.19399309368644,-0.06717441064756058
2018-03-27,-0.04692919680936608,0.05585287437168995,0.05434885206599047,-0.2730884491259671,24.0,-0.22580645161290325,35.79126708720728,-0.08681753855356178
2018-03-28,0.01538459954530477,0.040173311373973064,0.03938734482135092,-0.28072974173849075,24.0,0.0,37.671604480368195,0.05253620634830769
2018-03-29,-0.10442950860100436,0.1289226408441042,0.12126376275269402,2.209161416741684,18.0,-0.25,31.26682266357429,-0.1700161674858216
2018-03-30,-0.03915922419318774,0.08867985823916369,0.0849658229890816,-0.3121467442914304,12.0,-0.33333333333333337,29.389542452913407,-0.06004064534666975
2018-03-31,0.01197496528897845,0.05016814654071866,0.048950290911050194,-0.43427800250403537,16.0,0.33333333333333326,30.740438150975987,0.045965183031580814
