model_id,model_type,scaling,features,n_features,silhouette_score,log_likelihood,window_size,step_size,n_mixtures,n_factors
StandardHMM_none_Returns+Range+fg+pct_fg+RSI_104,StandardHMM,none,Returns+Range+fg+pct_fg+RSI,5,0.2503244302654133,-5632.146387007384,,,,
StandardHMM_robust_Returns+pct_Range_135,StandardHMM,robust,Returns+pct_Range,2,0.25007927082782044,-4949.432624969486,,,,
GMMHMM_robust_Returns+pct_Range_135,GMMHMM,robust,Returns+pct_Range,2,0.25007927082782044,-4949.432624969463,,,3.0,
HierarchicalHMM_2factors_robust_pct_Range+fg+pct_fg_392,HierarchicalHMM,robust,pct_Range+fg+pct_fg,3,0.2498363828939517,-4118.989321458146,,,,2.0
HierarchicalHMM_2factors_none_Returns+Range+pct_RSI_30,HierarchicalHMM,none,Returns+Range+pct_RSI,3,0.24873110736145124,-3942.7967719743924,,,,2.0
HierarchicalHMM_2factors_none_Returns+Range+pct_Range+fg+pct_fg+RSI_281,HierarchicalHMM,none,Returns+Range+pct_Range+fg+pct_fg+RSI,6,0.2486807168301571,-4269.122919545497,,,,2.0
HierarchicalHMM_3factors_none_Returns+fg+pct_fg+RSI+pct_RSI_254,HierarchicalHMM,none,Returns+fg+pct_fg+RSI+pct_RSI,5,0.2482577541246799,-6551.816896403037,,,,3.0
StandardHMM_none_pct_Range+fg+RSI+pct_RSI_95,StandardHMM,none,pct_Range+fg+RSI+pct_RSI,4,0.2477962812413567,-16073.548693772414,,,,
GMMHMM_none_Returns+pct_Range+pct_RSI_36,GMMHMM,none,Returns+pct_Range+pct_RSI,3,0.2474544893225334,-5562.5605509013,,,3.0,
HierarchicalHMM_3factors_robust_pct_Range+fg+RSI+pct_RSI_509,HierarchicalHMM,robust,pct_Range+fg+RSI+pct_RSI,4,0.24744857058791847,-6613.558950505178,,,,3.0
HierarchicalHMM_2factors_robust_Returns+Range+pct_Range+pct_fg+RSI_529,HierarchicalHMM,robust,Returns+Range+pct_Range+pct_fg+RSI,5,0.24735915075410128,-4282.478779480895,,,,2.0
StandardHMM_none_Returns+pct_Range+pct_fg+pct_RSI_77,StandardHMM,none,Returns+pct_Range+pct_fg+pct_RSI,4,0.24725749718019702,6788.150173729521,,,,
GMMHMM_none_Returns+Range+fg+pct_fg+RSI_104,GMMHMM,none,Returns+Range+fg+pct_fg+RSI,5,0.2470388695742019,-10677.866037712995,,,3.0,
StandardHMM_robust_Returns+Range+pct_fg+RSI+pct_RSI_234,StandardHMM,robust,Returns+Range+pct_fg+RSI+pct_RSI,5,0.2468421938084701,-10622.398623174926,,,,
GMMHMM_robust_Returns+Range+pct_fg+RSI+pct_RSI_234,GMMHMM,robust,Returns+Range+pct_fg+RSI+pct_RSI,5,0.2468421938084701,-10622.398623174822,,,3.0,
HierarchicalHMM_3factors_none_pct_Range+fg+RSI+pct_RSI_189,HierarchicalHMM,none,pct_Range+fg+RSI+pct_RSI,4,0.2467229442210932,-6613.558950505178,,,,3.0
HierarchicalHMM_2factors_robust_Returns+fg+pct_fg+pct_RSI_463,HierarchicalHMM,robust,Returns+fg+pct_fg+pct_RSI,4,0.2464584388976242,-4607.2076777863795,,,,2.0
HierarchicalHMM_3factors_none_Returns+Range+pct_Range+fg+RSI+pct_RSI_292,HierarchicalHMM,none,Returns+Range+pct_Range+fg+RSI+pct_RSI,6,0.2462350574936589,-6952.037137749726,,,,3.0
HierarchicalHMM_2factors_robust_Range+pct_Range+fg+pct_fg_472,HierarchicalHMM,robust,Range+pct_Range+fg+pct_fg,4,0.24577143476802116,-4334.771398488894,,,,2.0
GMMHMM_robust_Returns+Range+fg+RSI_195,GMMHMM,robust,Returns+Range+fg+RSI,4,0.2453904130846544,-7462.522269149042,,,3.0,
StandardHMM_robust_Returns+Range+fg+RSI_195,StandardHMM,robust,Returns+Range+fg+RSI,4,0.2453904130846544,-7462.52226914896,,,,
GMMHMM_robust_Returns+Range+fg+pct_RSI_196,GMMHMM,robust,Returns+Range+fg+pct_RSI,4,0.24512743916339325,-7308.26024624444,,,3.0,
StandardHMM_robust_Returns+Range+fg+pct_RSI_196,StandardHMM,robust,Returns+Range+fg+pct_RSI,4,0.24512743916339325,-7308.26024624444,,,,
HierarchicalHMM_4factors_none_Returns+Range+fg+pct_fg+RSI+pct_RSI_303,HierarchicalHMM,none,Returns+Range+fg+pct_fg+RSI+pct_RSI,6,0.24463567592578644,-8418.650809190489,,,,4.0
HierarchicalHMM_3factors_robust_Returns+Range+fg+RSI_428,HierarchicalHMM,robust,Returns+Range+fg+RSI,4,0.2435510116987813,-6584.227230578784,,,,3.0
HierarchicalHMM_4factors_robust_Returns+Range+pct_Range+pct_fg+RSI+pct_RSI_618,HierarchicalHMM,robust,Returns+Range+pct_Range+pct_fg+RSI+pct_RSI,6,0.2435376752676444,-9121.261796257291,,,,4.0
HierarchicalHMM_3factors_none_Range+pct_Range+fg+pct_RSI_159,HierarchicalHMM,none,Range+pct_Range+fg+pct_RSI,4,0.24351025198557213,-6591.141294064628,,,,3.0
GMMHMM_robust_RSI_132,GMMHMM,robust,RSI,1,0.24308103553907334,-1475.381781176458,,,3.0,
StandardHMM_robust_RSI_132,StandardHMM,robust,RSI,1,0.24308103553907334,-1475.381781176458,,,,
StandardHMM_none_RSI_5,StandardHMM,none,RSI,1,0.2430810355390729,-7506.252869724307,,,,
GMMHMM_none_RSI_5,GMMHMM,none,RSI,1,0.2430810355390729,-1475.381781176458,,,3.0,
StandardHMM_none_Returns+pct_Range+fg+RSI_74,StandardHMM,none,Returns+pct_Range+fg+RSI,4,0.24226443135102996,-13832.27558619842,,,,
GMMHMM_none_Returns+pct_Range+fg+pct_fg+RSI+pct_RSI_124,GMMHMM,none,Returns+pct_Range+fg+pct_fg+RSI+pct_RSI,6,0.24160874958194695,-12107.054486878827,,,3.0,
HierarchicalHMM_2factors_robust_pct_Range+pct_fg+RSI_398,HierarchicalHMM,robust,pct_Range+pct_fg+RSI,3,0.2413057686353819,-4126.734934728266,,,,2.0
HierarchicalHMM_3factors_none_Returns+Range+fg+pct_fg+RSI+pct_RSI_302,HierarchicalHMM,none,Returns+Range+fg+pct_fg+RSI+pct_RSI,6,0.24110735868834948,-6509.719578249164,,,,3.0
HierarchicalHMM_3factors_robust_Range+fg+RSI+pct_RSI_497,HierarchicalHMM,robust,Range+fg+RSI+pct_RSI,4,0.24043214830844153,-6704.833831316159,,,,3.0
HierarchicalHMM_2factors_none_Range+fg+pct_fg+RSI+pct_RSI_273,HierarchicalHMM,none,Range+fg+pct_fg+RSI+pct_RSI,5,0.2390155365790663,-3959.5921766047977,,,,2.0
HierarchicalHMM_2factors_robust_Range+pct_Range+fg_372,HierarchicalHMM,robust,Range+pct_Range+fg,3,0.23775476658795486,-4187.071791926306,,,,2.0
StandardHMM_none_Returns+fg+RSI+pct_RSI_81,StandardHMM,none,Returns+fg+RSI+pct_RSI,4,0.23751708002809926,-7636.532195730712,,,,
HierarchicalHMM_3factors_none_Returns+pct_Range+fg+pct_fg+RSI+pct_RSI_307,HierarchicalHMM,none,Returns+pct_Range+fg+pct_fg+RSI+pct_RSI,6,0.23742867802488218,-6527.315641247654,,,,3.0
HierarchicalHMM_2factors_robust_Returns+pct_fg+pct_RSI_368,HierarchicalHMM,robust,Returns+pct_fg+pct_RSI,3,0.23675223371311477,-4616.3768471436515,,,,2.0
GMMHMM_none_pct_Range+pct_fg+RSI+pct_RSI_96,GMMHMM,none,pct_Range+pct_fg+RSI+pct_RSI,4,0.23510354921478568,-10234.842985880181,,,3.0,
StandardHMM_none_pct_Range+pct_fg+RSI+pct_RSI_96,StandardHMM,none,pct_Range+pct_fg+RSI+pct_RSI,4,0.2348677102885889,-7305.816302272298,,,,
GMMHMM_none_pct_Range+fg+pct_fg+RSI_93,GMMHMM,none,pct_Range+fg+pct_fg+RSI,4,0.23424531036658086,-8553.62942480601,,,3.0,
HierarchicalHMM_4factors_none_Returns+Range+pct_Range+fg+pct_fg+RSI+pct_RSI_318,HierarchicalHMM,none,Returns+Range+pct_Range+fg+pct_fg+RSI+pct_RSI,7,0.2340678746081722,-8693.956530809826,,,,4.0
HierarchicalHMM_3factors_robust_Range+fg+pct_fg+pct_RSI_494,HierarchicalHMM,robust,Range+fg+pct_fg+pct_RSI,4,0.23257589078047652,-6713.827614486031,,,,3.0
StandardHMM_robust_Range+pct_Range+pct_RSI_173,StandardHMM,robust,Range+pct_Range+pct_RSI,3,0.2321195007781897,-6919.502258491544,,,,
GMMHMM_robust_Range+pct_Range+pct_RSI_173,GMMHMM,robust,Range+pct_Range+pct_RSI,3,0.2321195007781897,-6919.502258491544,,,3.0,
HierarchicalHMM_4factors_none_Range+pct_Range+fg+pct_fg+RSI+pct_RSI_313,HierarchicalHMM,none,Range+pct_Range+fg+pct_fg+RSI+pct_RSI,6,0.2303283124185703,-9321.10271238949,,,,4.0
HierarchicalHMM_1factors_none_Range+pct_RSI_10,HierarchicalHMM,none,Range+pct_RSI,2,0.22937393978689566,-2562.744515110136,,,,1.0
HierarchicalHMM_4factors_none_Returns+pct_Range+fg+pct_fg+RSI_239,HierarchicalHMM,none,Returns+pct_Range+fg+pct_fg+RSI,5,0.22928974885984613,-9075.929184021426,,,,4.0
HierarchicalHMM_2factors_robust_pct_Range+pct_fg+pct_RSI_400,HierarchicalHMM,robust,pct_Range+pct_fg+pct_RSI,3,0.22771212624847334,-4101.155688313973,,,,2.0
StandardHMM_none_pct_Range+fg+pct_fg+RSI_93,StandardHMM,none,pct_Range+fg+pct_fg+RSI,4,0.22768772119985678,-17929.004704253883,,,,
HierarchicalHMM_1factors_robust_Returns+Range+pct_Range+fg+RSI_520,HierarchicalHMM,robust,Returns+Range+pct_Range+fg+RSI,5,0.22749072425281014,-2109.8541653525635,,,,1.0
HierarchicalHMM_3factors_robust_Range+pct_Range+RSI+pct_RSI_488,HierarchicalHMM,robust,Range+pct_Range+RSI+pct_RSI,4,0.227296133075113,-6952.79516364124,,,,3.0
StandardHMM_none_Returns+Range+pct_Range+fg+pct_fg+RSI_119,StandardHMM,none,Returns+Range+pct_Range+fg+pct_fg+RSI,6,0.22693446750799662,-8156.627866253633,,,,
StandardHMM_robust_pct_Range+pct_fg+pct_RSI_184,StandardHMM,robust,pct_Range+pct_fg+pct_RSI,3,0.2251706308417916,-8273.008012128783,,,,
GMMHMM_robust_pct_Range+pct_fg+pct_RSI_184,GMMHMM,robust,pct_Range+pct_fg+pct_RSI,3,0.2251706308417916,-8273.008012128783,,,3.0,
HierarchicalHMM_2factors_robust_fg+pct_fg+pct_RSI_406,HierarchicalHMM,robust,fg+pct_fg+pct_RSI,3,0.22427338172821834,-4554.175224550727,,,,2.0
HierarchicalHMM_2factors_robust_Returns+pct_Range+pct_RSI_358,HierarchicalHMM,robust,Returns+pct_Range+pct_RSI,3,0.22358735745255198,-4129.4771738248155,,,,2.0
GMMHMM_none_Returns+Range+pct_Range+fg+pct_fg+RSI_119,GMMHMM,none,Returns+Range+pct_Range+fg+pct_fg+RSI,6,0.22311754141276868,-13246.883527774831,,,3.0,
GMMHMM_none_Range+fg+pct_fg+RSI_89,GMMHMM,none,Range+fg+pct_fg+RSI,4,0.22270412564319986,-8334.824253252465,,,3.0,
StandardHMM_none_pct_Range+fg+RSI_54,StandardHMM,none,pct_Range+fg+RSI,3,0.2221504245706764,-18609.516244323197,,,,
HierarchicalHMM_2factors_robust_pct_fg+RSI+pct_RSI_410,HierarchicalHMM,robust,pct_fg+RSI+pct_RSI,3,0.22202614096977502,-4640.217361285099,,,,2.0
HierarchicalHMM_2factors_robust_Range+RSI+pct_RSI_390,HierarchicalHMM,robust,Range+RSI+pct_RSI,3,0.22116038066064703,-4491.556493988674,,,,2.0
HierarchicalHMM_2factors_none_Returns+fg+pct_fg+RSI_140,HierarchicalHMM,none,Returns+fg+pct_fg+RSI,4,0.2208468174292626,-4006.03480915936,,,,2.0
HierarchicalHMM_2factors_none_Returns+Range+fg+pct_fg+RSI_221,HierarchicalHMM,none,Returns+Range+fg+pct_fg+RSI,5,0.2208455156826146,-4006.867860860023,,,,2.0
HierarchicalHMM_3factors_robust_Returns+Range+pct_Range+fg+RSI_522,HierarchicalHMM,robust,Returns+Range+pct_Range+fg+RSI,5,0.22076757195154506,-7666.013903899485,,,,3.0
HierarchicalHMM_2factors_robust_Range+pct_fg+RSI_386,HierarchicalHMM,robust,Range+pct_fg+RSI,3,0.22067549427860025,-4119.968571402732,,,,2.0
HierarchicalHMM_1factors_none_Range+pct_fg_8,HierarchicalHMM,none,Range+pct_fg,2,0.21999576704088114,-1955.0594951676596,,,,1.0
HierarchicalHMM_2factors_none_Returns+pct_Range+fg+pct_fg+RSI_237,HierarchicalHMM,none,Returns+pct_Range+fg+pct_fg+RSI,5,0.21974443013423267,-4006.1991823201606,,,,2.0
HierarchicalHMM_2factors_robust_Range+pct_Range+fg+pct_fg+pct_RSI_581,HierarchicalHMM,robust,Range+pct_Range+fg+pct_fg+pct_RSI,5,0.21868937524695614,-4334.571383540068,,,,2.0
StandardHMM_none_pct_Range+fg+pct_fg+RSI+pct_RSI_118,StandardHMM,none,pct_Range+fg+pct_fg+RSI+pct_RSI,5,0.2170038619009937,-16061.478293778293,,,,
HierarchicalHMM_2factors_robust_pct_Range+fg+pct_fg+pct_RSI_505,HierarchicalHMM,robust,pct_Range+fg+pct_fg+pct_RSI,4,0.2151368747934115,-4118.964651031213,,,,2.0
HierarchicalHMM_3factors_robust_Returns+Range+pct_Range+pct_RSI_422,HierarchicalHMM,robust,Returns+Range+pct_Range+pct_RSI,4,0.2144539805314483,-5999.313181940401,,,,3.0
GMMHMM_robust_Range+fg_141,GMMHMM,robust,Range+fg,2,0.21421071656393464,-3199.444465425142,,,3.0,
StandardHMM_robust_Range+fg_141,StandardHMM,robust,Range+fg,2,0.21421071656393464,-3199.4444654252734,,,,
HierarchicalHMM_2factors_none_Returns+Range+pct_Range+fg+RSI_201,HierarchicalHMM,none,Returns+Range+pct_Range+fg+RSI,5,0.2141926198512589,-4256.12915637223,,,,2.0
HierarchicalHMM_1factors_robust_fg+pct_RSI_337,HierarchicalHMM,robust,fg+pct_RSI,2,0.21409669026105957,-2547.799081058456,,,,1.0
HierarchicalHMM_3factors_none_Returns+pct_Range+fg+RSI+pct_RSI_246,HierarchicalHMM,none,Returns+pct_Range+fg+RSI+pct_RSI,5,0.21400200928572374,-6643.371123966959,,,,3.0
StandardHMM_none_Range+pct_Range+fg+pct_RSI_85,StandardHMM,none,Range+pct_Range+fg+pct_RSI,4,0.21324738061116538,-3939.0701425998463,,,,
HierarchicalHMM_1factors_none_Returns+pct_fg_3,HierarchicalHMM,none,Returns+pct_fg,2,0.21297065183855662,-1956.2139138069354,,,,1.0
HierarchicalHMM_2factors_robust_pct_Range+fg+pct_RSI_396,HierarchicalHMM,robust,pct_Range+fg+pct_RSI,3,0.2122769462074003,-4291.8627387757815,,,,2.0
HierarchicalHMM_1factors_robust_fg+pct_fg_335,HierarchicalHMM,robust,fg+pct_fg,2,0.2120684464933644,-1968.8850807861534,,,,1.0
GMMHMM_none_Returns+Range+pct_Range+pct_fg+pct_RSI_102,GMMHMM,none,Returns+Range+pct_Range+pct_fg+pct_RSI,5,0.21173598907424326,-11309.238492254139,,,3.0,
HierarchicalHMM_3factors_none_Range+fg+pct_fg+RSI+pct_RSI_274,HierarchicalHMM,none,Range+fg+pct_fg+RSI+pct_RSI,5,0.21164025271880796,-6638.582439108872,,,,3.0
GMMHMM_none_Returns+Range+pct_Range+pct_RSI_66,GMMHMM,none,Returns+Range+pct_Range+pct_RSI,4,0.21150326004177478,-7656.241165119237,,,3.0,
HierarchicalHMM_4factors_none_pct_Range+fg+pct_fg+RSI+pct_RSI_279,HierarchicalHMM,none,pct_Range+fg+pct_fg+RSI+pct_RSI,5,0.211467830851138,-8992.310053060864,,,,4.0
HierarchicalHMM_2factors_none_fg+pct_fg+RSI_84,HierarchicalHMM,none,fg+pct_fg+RSI,3,0.20986651035149392,-3850.2752988712286,,,,2.0
HierarchicalHMM_3factors_robust_Returns+Range+pct_Range+fg+pct_fg+pct_RSI_607,HierarchicalHMM,robust,Returns+Range+pct_Range+fg+pct_fg+pct_RSI,6,0.20984122869374303,-6645.521432762657,,,,3.0
HierarchicalHMM_2factors_robust_pct_Range+fg+RSI_394,HierarchicalHMM,robust,pct_Range+fg+RSI,3,0.20906673491653713,-4726.344190824728,,,,2.0
GMMHMM_none_Returns+fg+pct_fg+RSI+pct_RSI_112,GMMHMM,none,Returns+fg+pct_fg+RSI+pct_RSI,5,0.20900268619929688,-9307.527690200606,,,3.0,
HierarchicalHMM_4factors_robust_Range+pct_Range+fg+RSI+pct_RSI_587,HierarchicalHMM,robust,Range+pct_Range+fg+RSI+pct_RSI,5,0.20836010096435884,-9082.838050402162,,,,4.0
HierarchicalHMM_2factors_none_Returns+pct_fg+RSI_46,HierarchicalHMM,none,Returns+pct_fg+RSI,3,0.20771295303428428,-4585.623273674105,,,,2.0
HierarchicalHMM_1factors_none_Returns+Range+pct_fg_25,HierarchicalHMM,none,Returns+Range+pct_fg,3,0.2076669947893682,-1956.6707190680747,,,,1.0
StandardHMM_robust_Returns+fg+RSI+pct_RSI_208,StandardHMM,robust,Returns+fg+RSI+pct_RSI,4,0.20696841446101805,-5992.733009663562,,,,
GMMHMM_robust_Returns+fg+RSI+pct_RSI_208,GMMHMM,robust,Returns+fg+RSI+pct_RSI,4,0.20696841446101805,-5992.733009663597,,,3.0,
StandardHMM_robust_Range+pct_RSI_144,StandardHMM,robust,Range+pct_RSI,2,0.20598937206480322,-4698.629476168484,,,,
GMMHMM_robust_Range+pct_RSI_144,GMMHMM,robust,Range+pct_RSI,2,0.20598937206480322,-4698.629476168559,,,3.0,
HierarchicalHMM_3factors_none_Returns+Range+pct_Range+fg+pct_fg+RSI_282,HierarchicalHMM,none,Returns+Range+pct_Range+fg+pct_fg+RSI,6,0.2049717013928929,-6411.219963616955,,,,3.0
HierarchicalHMM_3factors_none_Returns+Range+pct_Range+pct_fg_96,HierarchicalHMM,none,Returns+Range+pct_Range+pct_fg,4,0.2049313637329599,-6672.226881417286,,,,3.0
HierarchicalHMM_4factors_robust_Returns+Range+pct_Range+fg+RSI_523,HierarchicalHMM,robust,Returns+Range+pct_Range+fg+RSI,5,0.2039244676506072,-9096.39160870301,,,,4.0
HierarchicalHMM_2factors_robust_Returns+pct_Range+pct_fg_354,HierarchicalHMM,robust,Returns+pct_Range+pct_fg,3,0.2038125561556271,-4134.969168715017,,,,2.0
HierarchicalHMM_4factors_none_Range+pct_Range+pct_fg+RSI+pct_RSI_271,HierarchicalHMM,none,Range+pct_Range+pct_fg+RSI+pct_RSI,5,0.20358934444144278,-8924.783577176728,,,,4.0
StandardHMM_robust_pct_Range+fg+RSI_181,StandardHMM,robust,pct_Range+fg+RSI,3,0.20327700576341676,-5941.256160036515,,,,
GMMHMM_robust_pct_Range+fg+RSI_181,GMMHMM,robust,pct_Range+fg+RSI,3,0.20327700576341676,-5941.25616003656,,,3.0,
StandardHMM_robust_Range+pct_Range+pct_fg+pct_RSI_214,StandardHMM,robust,Range+pct_Range+pct_fg+pct_RSI,4,0.20281211047836423,-10319.70759355876,,,,
GMMHMM_robust_Range+pct_Range+pct_fg+pct_RSI_214,GMMHMM,robust,Range+pct_Range+pct_fg+pct_RSI,4,0.20281211047836423,-10319.707593558564,,,3.0,
HierarchicalHMM_3factors_robust_Returns+Range+RSI+pct_RSI_440,HierarchicalHMM,robust,Returns+Range+RSI+pct_RSI,4,0.2025799134302763,-6726.078819477232,,,,3.0
GMMHMM_robust_Range+pct_Range+fg_170,GMMHMM,robust,Range+pct_Range+fg,3,0.20154923147630402,-5904.343474058835,,,3.0,
StandardHMM_robust_Range+pct_Range+fg_170,StandardHMM,robust,Range+pct_Range+fg,3,0.20154923147630402,-5904.343474058835,,,,
StandardHMM_none_Returns+pct_Range+fg+pct_fg+RSI_108,StandardHMM,none,Returns+pct_Range+fg+pct_fg+RSI,5,0.2014730964292851,-13497.409080525307,,,,
HierarchicalHMM_3factors_robust_Returns+Range+fg+RSI+pct_RSI_550,HierarchicalHMM,robust,Returns+Range+fg+RSI+pct_RSI,5,0.2008006573245363,-6291.331699805058,,,,3.0
StandardHMM_robust_pct_Range+RSI+pct_RSI_185,StandardHMM,robust,pct_Range+RSI+pct_RSI,3,0.20072880373432964,-6695.732168488431,,,,
GMMHMM_robust_pct_Range+RSI+pct_RSI_185,GMMHMM,robust,pct_Range+RSI+pct_RSI,3,0.20072880373432964,-6695.732168488433,,,3.0,
StandardHMM_none_Range_1,StandardHMM,none,Range,1,0.19875831200570038,4754.04244049511,,,,
StandardHMM_robust_Range+pct_Range+RSI_172,StandardHMM,robust,Range+pct_Range+RSI,3,0.19855177016636563,-6277.668019620911,,,,
GMMHMM_robust_Range+pct_Range+RSI_172,GMMHMM,robust,Range+pct_Range+RSI,3,0.19855177016636563,-6277.668019620911,,,3.0,
HierarchicalHMM_1factors_robust_Returns+Range+pct_Range+RSI_417,HierarchicalHMM,robust,Returns+Range+pct_Range+RSI,4,0.1979863726250087,-2093.5076167409884,,,,1.0
HierarchicalHMM_1factors_robust_Range+RSI_329,HierarchicalHMM,robust,Range+RSI,2,0.19772413521744914,-1942.6622662172585,,,,1.0
HierarchicalHMM_1factors_robust_pct_Range+fg+pct_RSI_395,HierarchicalHMM,robust,pct_Range+fg+pct_RSI,3,0.19717166056320193,-1804.4027043221015,,,,1.0
HierarchicalHMM_3factors_robust_pct_Range+fg+pct_fg+RSI_503,HierarchicalHMM,robust,pct_Range+fg+pct_fg+RSI,4,0.19535946273297175,-6420.393833918544,,,,3.0
StandardHMM_robust_Returns+pct_Range+RSI_162,StandardHMM,robust,Returns+pct_Range+RSI,3,0.19519549806447184,-6822.869360108926,,,,
GMMHMM_robust_Returns+pct_Range+RSI_162,GMMHMM,robust,Returns+pct_Range+RSI,3,0.19519549806447184,-6822.869360108954,,,3.0,
HierarchicalHMM_3factors_none_Returns+Range+pct_Range+pct_RSI_102,HierarchicalHMM,none,Returns+Range+pct_Range+pct_RSI,4,0.19485544559632298,-5999.313181940401,,,,3.0
HierarchicalHMM_2factors_robust_Returns+pct_Range+RSI_356,HierarchicalHMM,robust,Returns+pct_Range+RSI,3,0.19467200867477236,-4473.865483213722,,,,2.0
GMMHMM_none_pct_Range+fg+pct_fg+RSI+pct_RSI_118,GMMHMM,none,pct_Range+fg+pct_fg+RSI+pct_RSI,5,0.1941325027429604,-11253.459059676517,,,3.0,
HierarchicalHMM_2factors_robust_pct_Range+pct_fg+RSI+pct_RSI_511,HierarchicalHMM,robust,pct_Range+pct_fg+RSI+pct_RSI,4,0.1935483147154506,-4557.473668166548,,,,2.0
GMMHMM_robust_Returns+Range_134,GMMHMM,robust,Returns+Range,2,0.19327628801440783,-4386.4161426952,,,3.0,
StandardHMM_robust_Returns+Range_134,StandardHMM,robust,Returns+Range,2,0.19327628801440783,-4386.4161426952,,,,
StandardHMM_robust_pct_fg+RSI_152,StandardHMM,robust,pct_fg+RSI,2,0.19261931339234262,-4841.065773499951,,,,
GMMHMM_robust_pct_fg+RSI_152,GMMHMM,robust,pct_fg+RSI,2,0.19261931339234262,-4841.065773499951,,,3.0,
StandardHMM_none_Range+pct_Range+pct_fg+RSI_86,StandardHMM,none,Range+pct_Range+pct_fg+RSI,4,0.19260993959838063,-4778.510566075728,,,,
GMMHMM_robust_pct_Range+fg+pct_RSI_182,GMMHMM,robust,pct_Range+fg+pct_RSI,3,0.191527021074916,-6435.483441909457,,,3.0,
StandardHMM_robust_pct_Range+fg+pct_RSI_182,StandardHMM,robust,pct_Range+fg+pct_RSI,3,0.191527021074916,-6435.483441909329,,,,
HierarchicalHMM_3factors_robust_Returns+Range+pct_Range+fg_413,HierarchicalHMM,robust,Returns+Range+pct_Range+fg,4,0.19093288470431227,-6510.057208615837,,,,3.0
HierarchicalHMM_1factors_robust_Returns+Range+pct_Range_341,HierarchicalHMM,robust,Returns+Range+pct_Range,3,0.18888645302444443,-2088.525897870391,,,,1.0
HierarchicalHMM_1factors_robust_pct_fg+RSI_338,HierarchicalHMM,robust,pct_fg+RSI,2,0.1880088549532175,-1970.1812708933319,,,,1.0
HierarchicalHMM_3factors_none_pct_Range+fg+pct_fg+RSI_183,HierarchicalHMM,none,pct_Range+fg+pct_fg+RSI,4,0.18759830381608347,-6420.393833918339,,,,3.0
HierarchicalHMM_3factors_robust_Range+fg+pct_fg+RSI_491,HierarchicalHMM,robust,Range+fg+pct_fg+RSI,4,0.1869657955540285,-6207.958791879376,,,,3.0
GMMHMM_none_Returns+Range_7,GMMHMM,none,Returns+Range,2,0.18646006297979906,-4386.4161426952,,,3.0,
HierarchicalHMM_4factors_robust_Returns+Range+fg+RSI+pct_RSI_551,HierarchicalHMM,robust,Returns+Range+fg+RSI+pct_RSI,5,0.18640691120296982,-9445.273334599782,,,,4.0
HierarchicalHMM_1factors_robust_Range+pct_RSI_330,HierarchicalHMM,robust,Range+pct_RSI,2,0.1861013631229864,-2562.744515110136,,,,1.0
HierarchicalHMM_1factors_robust_Range+pct_Range+fg+RSI_474,HierarchicalHMM,robust,Range+pct_Range+fg+RSI,4,0.18492299327383455,-2193.7506943615895,,,,1.0
HierarchicalHMM_1factors_none_fg+pct_fg+RSI+pct_RSI_193,HierarchicalHMM,none,fg+pct_fg+RSI+pct_RSI,4,0.18448614045447295,-1819.041068738407,,,,1.0
HierarchicalHMM_3factors_robust_Returns+Range+fg+pct_fg_425,HierarchicalHMM,robust,Returns+Range+fg+pct_fg,4,0.18443307419489613,-6690.213039957918,,,,3.0
HierarchicalHMM_3factors_robust_pct_Range+pct_fg+RSI+pct_RSI_512,HierarchicalHMM,robust,pct_Range+pct_fg+RSI+pct_RSI,4,0.1834831176712137,-6613.6238195703345,,,,3.0
HierarchicalHMM_3factors_robust_Returns+pct_Range+fg+RSI+pct_RSI_566,HierarchicalHMM,robust,Returns+pct_Range+fg+RSI+pct_RSI,5,0.18305385975080987,-6643.371123966959,,,,3.0
GMMHMM_robust_Range+pct_Range_140,GMMHMM,robust,Range+pct_Range,2,0.18253190724510956,-4328.348177795383,,,3.0,
StandardHMM_robust_Range+pct_Range_140,StandardHMM,robust,Range+pct_Range,2,0.18253190724510956,-4328.348177795383,,,,
HierarchicalHMM_2factors_robust_Range+fg+pct_fg+pct_RSI_493,HierarchicalHMM,robust,Range+fg+pct_fg+pct_RSI,4,0.18177797996483683,-4584.17242759812,,,,2.0
HierarchicalHMM_3factors_robust_Range+pct_Range+fg+pct_RSI_479,HierarchicalHMM,robust,Range+pct_Range+fg+pct_RSI,4,0.18151963307376712,-6591.141294064495,,,,3.0
HierarchicalHMM_2factors_robust_Returns+Range+fg_344,HierarchicalHMM,robust,Returns+Range+fg,3,0.18112974768911183,-4195.805351569308,,,,2.0
HierarchicalHMM_4factors_none_Returns+pct_Range+fg+pct_fg+RSI+pct_RSI_308,HierarchicalHMM,none,Returns+pct_Range+fg+pct_fg+RSI+pct_RSI,6,0.1810461578803359,-9088.350978988057,,,,4.0
StandardHMM_none_Returns+pct_fg+pct_RSI_41,StandardHMM,none,Returns+pct_fg+pct_RSI,3,0.18098618327890392,8188.592074639471,,,,
HierarchicalHMM_3factors_robust_Returns+Range+pct_Range+fg+RSI+pct_RSI_612,HierarchicalHMM,robust,Returns+Range+pct_Range+fg+RSI+pct_RSI,6,0.18086690518900103,-6952.037137750109,,,,3.0
GMMHMM_robust_Range+pct_Range+fg+pct_RSI_212,GMMHMM,robust,Range+pct_Range+fg+pct_RSI,4,0.18042967751894606,-9031.657409208177,,,3.0,
