model_id,model_type,scaling,features,n_features,silhouette_score,log_likelihood,window_size,step_size,n_mixtures,n_factors
StandardHMM_none_pct_Range+pct_fg+pct_RSI_57,StandardHMM,none,pct_Range+pct_fg+pct_RSI,3,0.37466973633055883,744.2158387263657,,,,
HierarchicalHMM_2factors_none_Range+pct_Range+fg+pct_fg+RSI+pct_RSI_311,HierarchicalHMM,none,Range+pct_Range+fg+pct_fg+RSI+pct_RSI,6,0.374253714748026,-3896.743363228208,,,,2.0
HierarchicalHMM_4factors_robust_Returns+Range+pct_Range+RSI+pct_RSI_539,HierarchicalHMM,robust,Returns+Range+pct_Range+RSI+pct_RSI,5,0.37329229178331663,-9068.194900630071,,,,4.0
StandardHMM_none_Range+pct_fg+pct_RSI_51,StandardHMM,none,Range+pct_fg+pct_RSI,3,0.37204796673825213,7416.273107106309,,,,
GMMHMM_none_pct_Range+RSI_20,GMMHMM,none,pct_Range+RSI,2,0.37197836088372344,-4043.217179113093,,,3.0,
StandardHMM_none_pct_Range+pct_fg_19,StandardHMM,none,pct_Range+pct_fg,2,0.3693316014464846,-1513.6836058951385,,,,
HierarchicalHMM_2factors_none_fg+RSI+pct_RSI_88,HierarchicalHMM,none,fg+RSI+pct_RSI,3,0.36893816031637344,-4220.771737721281,,,,2.0
StandardHMM_none_fg+pct_fg+RSI_59,StandardHMM,none,fg+pct_fg+RSI,3,0.3679209311920195,-14350.88445196853,,,,
StandardHMM_none_pct_Range+RSI_20,StandardHMM,none,pct_Range+RSI,2,0.3679028698776254,-10029.35433397949,,,,
StandardHMM_none_Returns+fg+RSI_38,StandardHMM,none,Returns+fg+RSI,3,0.3678748448067279,-10804.483434766338,,,,
StandardHMM_none_Returns+Range+pct_RSI_32,StandardHMM,none,Returns+Range+pct_RSI,3,0.3671989076976868,13669.93110980897,,,,
GMMHMM_robust_Returns+Range+pct_Range+RSI_192,GMMHMM,robust,Returns+Range+pct_Range+RSI,4,0.36714045367203535,-9320.873325893843,,,3.0,
StandardHMM_robust_Returns+Range+pct_Range+RSI_192,StandardHMM,robust,Returns+Range+pct_Range+RSI,4,0.36714045367203535,-9320.873325893843,,,,
HierarchicalHMM_3factors_none_pct_Range+fg+pct_fg+RSI+pct_RSI_278,HierarchicalHMM,none,pct_Range+fg+pct_fg+RSI+pct_RSI,5,0.3669754577505648,-6504.193356923384,,,,3.0
StandardHMM_none_pct_fg+RSI_25,StandardHMM,none,pct_fg+RSI,2,0.3660480885961,-6483.639996733802,,,,
GMMHMM_none_Returns+fg+RSI_38,GMMHMM,none,Returns+fg+RSI,3,0.3657502624644324,-4915.869529212299,,,3.0,
HierarchicalHMM_2factors_none_Returns+fg+RSI_42,HierarchicalHMM,none,Returns+fg+RSI,3,0.3648477648135914,-4240.873891659967,,,,2.0
StandardHMM_none_Range+pct_Range+fg_43,StandardHMM,none,Range+pct_Range+fg,3,0.3641614700406282,-6042.405175758895,,,,
StandardHMM_none_fg+pct_fg+RSI+pct_RSI_97,StandardHMM,none,fg+pct_fg+RSI+pct_RSI,4,0.362326086627062,-12443.426743690716,,,,
StandardHMM_none_Range+RSI_16,StandardHMM,none,Range+RSI,2,0.36134516614313844,-2924.6610038271165,,,,
StandardHMM_none_Returns+pct_Range+pct_fg_34,StandardHMM,none,Returns+pct_Range+pct_fg,3,0.36107796977532064,2956.7042089637994,,,,
StandardHMM_none_Returns+fg+pct_fg+RSI_79,StandardHMM,none,Returns+fg+pct_fg+RSI,4,0.3608364670906463,-10081.521414530174,,,,
HierarchicalHMM_3factors_none_Range+pct_Range+fg+RSI+pct_RSI_266,HierarchicalHMM,none,Range+pct_Range+fg+RSI+pct_RSI,5,0.35873179017350665,-6916.440040327823,,,,3.0
GMMHMM_none_pct_fg+RSI+pct_RSI_62,GMMHMM,none,pct_fg+RSI+pct_RSI,3,0.3586933161014979,-7315.835536167416,,,3.0,
StandardHMM_none_pct_fg+RSI+pct_RSI_62,StandardHMM,none,pct_fg+RSI+pct_RSI,3,0.3586933161014979,-4431.546310352807,,,,
GMMHMM_none_Range+fg+RSI_48,GMMHMM,none,Range+fg+RSI,3,0.35855521307739513,-4725.25035317032,,,3.0,
HierarchicalHMM_4factors_robust_Returns+Range+pct_Range+pct_fg+pct_RSI_535,HierarchicalHMM,robust,Returns+Range+pct_Range+pct_fg+pct_RSI,5,0.3574076961375402,-8668.267033334638,,,,4.0
GMMHMM_none_Range+pct_Range+fg_43,GMMHMM,none,Range+pct_Range+fg,3,0.3573330921841629,-5904.343474058663,,,3.0,
StandardHMM_none_Range+pct_Range+RSI_45,StandardHMM,none,Range+pct_Range+RSI,3,0.35706135361348845,-5382.182218649953,,,,
StandardHMM_none_Range+pct_fg_15,StandardHMM,none,Range+pct_fg,2,0.35303576737629405,5357.210845823116,,,,
HierarchicalHMM_2factors_none_Range+pct_fg+RSI+pct_RSI_179,HierarchicalHMM,none,Range+pct_fg+RSI+pct_RSI,4,0.35251254233854407,-4165.315973738508,,,,2.0
HierarchicalHMM_2factors_robust_Returns+Range+pct_Range+fg_412,HierarchicalHMM,robust,Returns+Range+pct_Range+fg,4,0.35237249376637025,-4314.47148071677,,,,2.0
HierarchicalHMM_2factors_none_fg+pct_fg+RSI+pct_RSI_194,HierarchicalHMM,none,fg+pct_fg+RSI+pct_RSI,4,0.35169365706697964,-3678.922957261709,,,,2.0
GMMHMM_none_Range+pct_Range+RSI_45,GMMHMM,none,Range+pct_Range+RSI,3,0.3503158597715296,-6277.668019620911,,,3.0,
GMMHMM_none_pct_Range+pct_fg+RSI_56,GMMHMM,none,pct_Range+pct_fg+RSI,3,0.3499585267422241,-7366.4696875440095,,,3.0,
HierarchicalHMM_2factors_none_pct_Range+fg+pct_fg+RSI_182,HierarchicalHMM,none,pct_Range+fg+pct_fg+RSI,4,0.349705610644346,-3679.809739622871,,,,2.0
HierarchicalHMM_2factors_none_pct_Range+fg+RSI+pct_RSI_188,HierarchicalHMM,none,pct_Range+fg+RSI+pct_RSI,4,0.34857336239136505,-4249.616366215783,,,,2.0
HierarchicalHMM_2factors_none_Range+pct_Range+fg_52,HierarchicalHMM,none,Range+pct_Range+fg,3,0.34794948600771486,-4187.071791926306,,,,2.0
HierarchicalHMM_3factors_none_Returns+fg+pct_fg+pct_RSI_144,HierarchicalHMM,none,Returns+fg+pct_fg+pct_RSI,4,0.34748544462970377,-6692.190418907522,,,,3.0
StandardHMM_robust_Returns+Range+pct_RSI_159,StandardHMM,robust,Returns+Range+pct_RSI,3,0.3474413532507304,-5249.388300072269,,,,
GMMHMM_robust_Returns+Range+pct_RSI_159,GMMHMM,robust,Returns+Range+pct_RSI,3,0.3474413532507304,-5249.388300072269,,,3.0,
GMMHMM_none_fg+pct_fg+RSI_59,GMMHMM,none,fg+pct_fg+RSI,3,0.3473484475965882,-5519.7368122817315,,,3.0,
