,features,silhouette,log_likelihood,train_return_diff,test_return_diff,n_features,combined_score
244,"pcr, iv_skew, pcr_zscore, fg",0.25734368049481315,-3277.517418519932,0.0068133523627843685,0.0,4,0.93867891677325
245,"pcr, iv_skew, pcr_zscore, pct_fg",0.16911816175652186,198.77643682431005,0.0024017495617278113,0.0047169072583838805,4,0.409293117929303
246,"pcr, iv_skew, vol_of_vol, trend_strength",0.061325475056238664,-2618.6642026122627,0.001896429418828977,0.004398727192779889,4,0.25096841693913635
247,"pcr, iv_skew, vol_of_vol, iv_percentile_rank",0.22097984427905137,-5866.510904250061,0.0007938340875897041,0.004861889224896962,4,0.3003632530380218
248,"pcr, iv_skew, vol_of_vol, relative_pcr",0.25408013513446853,-1454.4625351283814,0.0021235258391669146,0.001815017622905004,4,0.46643271905116
249,"pcr, iv_skew, vol_of_vol, rsi20",0.12284574366096385,-4880.215077371226,0.0029872689325766205,0.007963262130587904,4,0.4215726369186259
250,"pcr, iv_skew, vol_of_vol, fg",0.2584423478041933,-5421.639132871166,0.004605973001234353,0.001336731733002864,4,0.7190396479276286
251,"pcr, iv_skew, vol_of_vol, pct_fg",0.17299800763316425,-1736.2476772500356,0.003064766040764089,0.004028292091986147,4,0.4794746117095732
252,"pcr, iv_skew, trend_strength, iv_percentile_rank",0.18175539030961482,-3250.1807897166273,0.0032361003283327182,0.004819941133795103,4,0.5053654231428867
253,"pcr, iv_skew, trend_strength, relative_pcr",0.1339376192355338,719.5883133670474,0.004280362690229463,0.005637775147538698,4,0.5619738882584802
254,"pcr, iv_skew, trend_strength, rsi20",0.12723835429251287,-2294.246884903675,0.0034432019058525483,0.001936430737103278,4,0.4715585448777677
255,"pcr, iv_skew, trend_strength, fg",0.2702359862788638,-2945.1165792769475,0.006556814831283093,0.00010709273966011401,4,0.9259174694071731
256,"pcr, iv_skew, trend_strength, pct_fg",0.40888966486278766,840.6340946788451,0.004183300809515197,0.004834170386045196,4,0.8272197458143074
257,"pcr, iv_skew, iv_percentile_rank, relative_pcr",0.17730153028135698,-2701.770340313141,0.0015062443951780937,0.009626886076085958,4,0.32792596979916633
258,"pcr, iv_skew, iv_percentile_rank, rsi20",0.22545843870934779,-5768.111670302239,0.0021570744973133608,0.0078118177515698745,4,0.44116588844068383
259,"pcr, iv_skew, iv_percentile_rank, fg",0.1587488755942813,-6228.517593326698,0.006530915633157531,0.0,4,0.8118404389100343
260,"pcr, iv_skew, iv_percentile_rank, pct_fg",0.19699831164600942,-2781.1227597462894,0.002390937636996672,0.004493592121577919,4,0.4360920753456766
261,"pcr, iv_skew, relative_pcr, rsi20",0.1071746213211817,-1692.6122716352459,0.0037754259948747054,0.012203998408613657,4,0.48471722080865226
262,"pcr, iv_skew, relative_pcr, fg",0.2769716087931452,-2094.4904958052075,0.006476032311001325,0.00010709273966011401,4,0.9245748398932777
263,"pcr, iv_skew, relative_pcr, pct_fg",0.2924907884736926,1551.2140226438635,0.001554622247248394,0.003247430982652019,4,0.447953013198532
264,"pcr, iv_skew, rsi20, fg",0.16496209545203475,-5129.974209210524,0.007103351182594586,0.00010709273966011401,4,0.8752972137114934
265,"pcr, iv_skew, rsi20, pct_fg",0.4097357668136017,-1446.312594736237,0.005417694631750819,0.008246328907729231,4,0.9515052299886836
266,"pcr, iv_skew, fg, pct_fg",0.40088424267525363,-2099.632834009267,0.0034600871553528046,0.00010709273966011401,4,0.7468929582105341
267,"pcr, normalized_vrp, pcr_zscore, vol_of_vol",-0.05359962078055103,-2312.371818493004,0.001701684665437143,0.001191311742539376,4,0.11656884576316329
268,"pcr, normalized_vrp, pcr_zscore, trend_strength",0.21145986902531677,471.503203223243,0.003001629385398822,0.00617142984800749,4,0.511622807565199
269,"pcr, normalized_vrp, pcr_zscore, iv_percentile_rank",0.20288512413682486,-3220.510896955129,0.005283580755352405,0.017001783364987724,4,0.7312431996720654
270,"pcr, normalized_vrp, pcr_zscore, relative_pcr",0.001771769230021515,913.2289492504528,0.002812471248780513,0.002908443350093412,4,0.28301889410807285
271,"pcr, normalized_vrp, pcr_zscore, rsi20",0.07876272819762455,-2331.9682452753127,0.003128869723282533,0.005015229826448631,4,0.39164970052587783
272,"pcr, normalized_vrp, pcr_zscore, fg",0.16308580835521802,-2770.0499765751783,0.006854049057350715,0.007840654920060176,4,0.8484907140902895
273,"pcr, normalized_vrp, pcr_zscore, pct_fg",0.08142109566606312,877.8943712410274,0.004574762221545278,0.003914313474105936,4,0.5388973178205909
274,"pcr, normalized_vrp, vol_of_vol, trend_strength",-0.1170749427333069,-1785.5197574796052,0.0013732272544863284,0.007510348383796989,4,0.02024778271532593
275,"pcr, normalized_vrp, vol_of_vol, iv_percentile_rank",0.1437942063747975,-5014.841255015776,0.0012843019497759836,0.0033511714214366065,4,0.2722244013523959
276,"pcr, normalized_vrp, vol_of_vol, relative_pcr",-0.05526022777896217,-969.2362971932836,0.002559347876867328,0.0013616827344161194,4,0.2006745599077706
277,"pcr, normalized_vrp, vol_of_vol, rsi20",0.029629840116102688,-3756.882494408789,0.001425572634758643,0.009209369195827882,4,0.17218710359196698
278,"pcr, normalized_vrp, vol_of_vol, fg",0.23787303262617063,-4520.732587593467,0.0075797254644905145,0.00010709273966011401,4,0.9958455790752221
279,"pcr, normalized_vrp, vol_of_vol, pct_fg",-0.027711274848842737,-924.7474531235538,0.004230315949215839,0.006521995441271201,4,0.39532032007274115
280,"pcr, normalized_vrp, trend_strength, iv_percentile_rank",0.21846651582737542,-2449.9541662531237,0.005021615832722656,0.012343777776725125,4,0.720628099099641
281,"pcr, normalized_vrp, trend_strength, relative_pcr",-0.03525639514816983,1328.6648417351466,0.004224428434700872,0.007017494960489638,4,0.3871864483219174
282,"pcr, normalized_vrp, trend_strength, rsi20",0.09898291053458691,-1789.0359299320992,0.0031340714355058913,0.006327548386980306,4,0.41239005408517604
283,"pcr, normalized_vrp, trend_strength, fg",0.16126094963722584,-2417.781595466324,0.005192498293045118,0.00693197968766618,4,0.6805107789417376
284,"pcr, normalized_vrp, trend_strength, pct_fg",0.323450544796354,1518.6376990040596,0.005025745905963941,0.0048128427266297905,4,0.8260251353927481
285,"pcr, normalized_vrp, iv_percentile_rank, relative_pcr",0.19815629065963594,-1897.3504424966065,0.004033967469962565,0.009846974052388508,4,0.6015530376558924
286,"pcr, normalized_vrp, iv_percentile_rank, rsi20",0.16252138561078114,-5023.949610303804,0.0016431705018317155,0.007884163622117921,4,0.32683843579395266
287,"pcr, normalized_vrp, iv_percentile_rank, fg",0.11818383224001915,-5554.472995073909,0.006672793542964012,0.019672034703914543,4,0.7854631865364203
288,"pcr, normalized_vrp, iv_percentile_rank, pct_fg",0.20075825498503364,-2007.4542192609842,0.010493139445665926,0.0064122479601167485,4,1.2500721995516262
289,"pcr, normalized_vrp, relative_pcr, rsi20",0.07923521555177011,-983.854935465476,0.003760884204185567,0.008103268186394952,4,0.45532363597032677
290,"pcr, normalized_vrp, relative_pcr, fg",0.16535215032553868,-1546.683122821987,0.005559169076574168,0.010515395352544265,4,0.7212690579829555
291,"pcr, normalized_vrp, relative_pcr, pct_fg",0.16985929396393357,2220.0582411671667,0.0028531609191087045,0.0017784753977012676,4,0.455175385874804
292,"pcr, normalized_vrp, rsi20, fg",0.1319496661144084,-4646.945579776924,0.005061064165507402,0.006921163024159321,4,0.6380560826651486
293,"pcr, normalized_vrp, rsi20, pct_fg",0.35147171494871654,-851.9380898496992,0.0033579540870315276,0.007693186045839406,4,0.6872671236518693
294,"pcr, normalized_vrp, fg, pct_fg",0.3655096739381594,-1330.273318386856,0.011391307779387658,0.004123799831975276,4,1.5046404518769252
295,"pcr, pcr_zscore, vol_of_vol, trend_strength",0.2004400823812352,-2711.4669656713563,0.001684334033747176,0.0,4,0.3688734857559528
296,"pcr, pcr_zscore, vol_of_vol, iv_percentile_rank",0.22455826330354245,-6067.125528563751,0.0005063401142524318,0.003711791232632408,4,0.2751922747287856
297,"pcr, pcr_zscore, vol_of_vol, relative_pcr",-0.052725105205766974,-1751.1115855412022,0.0014633652405196978,0.0013430520659825085,4,0.0936114188462028
298,"pcr, pcr_zscore, vol_of_vol, rsi20",0.09956901384046274,-4985.384156206484,0.0023396568673407334,0.011891685490461212,4,0.33353470057453605
299,"pcr, pcr_zscore, vol_of_vol, fg",0.25593930454070873,-5236.072174231643,0.006900323949165291,0.0,4,0.9459716994572378
300,"pcr, pcr_zscore, vol_of_vol, pct_fg",-0.011397945069945629,-1846.858665262427,0.002723395172135138,0.0008133575093801342,4,0.26094157214356817
301,"pcr, pcr_zscore, trend_strength, iv_percentile_rank",0.06899428173436423,-3707.4386590354643,0.002499003088019706,0.005077241790564209,4,0.31889459053633484
302,"pcr, pcr_zscore, trend_strength, relative_pcr",0.055161574732156486,533.9610281925709,0.0015621138563824538,0.003184485827179214,4,0.21137296037040187
303,"pcr, pcr_zscore, trend_strength, rsi20",0.09295593908242458,-2592.96157190932,0.0028361884019207583,0.004489470180355429,4,0.37657477927450045
304,"pcr, pcr_zscore, trend_strength, fg",0.2715176423127562,-2986.6021320867176,0.006322742270334504,0.019672034703914543,4,0.9037918693462066
305,"pcr, pcr_zscore, trend_strength, pct_fg",0.17964539619890338,544.664146864319,0.0028809875606923135,0.008370265200978489,4,0.4677441522681347
306,"pcr, pcr_zscore, iv_percentile_rank, relative_pcr",0.12759813660606997,-2758.3000988759827,0.0017114451812918732,0.005036774598294037,4,0.2987426547352573
307,"pcr, pcr_zscore, iv_percentile_rank, rsi20",0.2173349719622365,-6031.3525314169265,0.0027219085127424,0.010231148725414545,4,0.48952582323647653
308,"pcr, pcr_zscore, iv_percentile_rank, fg",0.11889873102185043,-6298.263038079433,0.0032922793466830247,0.00789238162350614,4,0.4481266656901529
309,"pcr, pcr_zscore, iv_percentile_rank, pct_fg",0.20628677296196415,-2848.0751646337176,0.003082356715516192,0.00202758095715675,4,0.5145224445135833
310,"pcr, pcr_zscore, relative_pcr, rsi20",0.10117182649563006,-1808.5612297917764,0.003021368703487842,0.005368384710122109,4,0.4033086968444143
311,"pcr, pcr_zscore, relative_pcr, fg",0.24971734448765467,-2014.0974727426378,0.0069827967011427995,0.019672034703914543,4,0.9479970146019346
312,"pcr, pcr_zscore, relative_pcr, pct_fg",0.08766271760513596,1283.9203399398211,0.0012387774480581662,0.002660366869403722,4,0.2115404624109526
313,"pcr, pcr_zscore, rsi20, fg",0.09753809036590075,-5296.351307567179,0.0035727078088768475,0.004420882535433753,4,0.4548088712535855
314,"pcr, pcr_zscore, rsi20, pct_fg",0.28409733368203327,-1803.3468771119178,0.004375547060109155,0.0106576654800755,4,0.7216520396929488
315,"pcr, pcr_zscore, fg, pct_fg",0.33652350770083017,-2123.8300431511598,0.004218696982468402,0.00010709273966011401,4,0.7583932059476703
316,"pcr, vol_of_vol, trend_strength, iv_percentile_rank",0.21949491662047477,-5545.333843134057,0.001254024056179719,0.004663617227711495,4,0.34489732223844666
317,"pcr, vol_of_vol, trend_strength, relative_pcr",-0.06677925403033652,-1371.3197681139286,0.0016837403551219535,0.001191311742539376,4,0.10159478148185883
318,"pcr, vol_of_vol, trend_strength, rsi20",0.2594450010420371,-4502.469334918661,0.003880303980145378,0.007832568342020297,4,0.6474753990565749
319,"pcr, vol_of_vol, trend_strength, fg",0.25935163720154847,-4891.324618894538,0.007609053649214447,0.019672034703914543,4,1.020257002122993
